subject,accuracy
abstract_algebra,0.25
anatomy,0.6592592592592592
astronomy,0.7039473684210527
business_ethics,0.63
clinical_knowledge,0.720754716981132
college_biology,0.7569444444444444
college_chemistry,0.43
college_computer_science,0.59
college_mathematics,0.34
college_medicine,0.653179190751445
college_physics,0.4215686274509804
computer_security,0.76
conceptual_physics,0.5361702127659574
econometrics,0.5175438596491229
electrical_engineering,0.5517241379310345
elementary_mathematics,0.4444444444444444
formal_logic,0.3968253968253968
global_facts,0.42
high_school_biology,0.7580645161290323
high_school_chemistry,0.49261083743842365
high_school_computer_science,0.74
high_school_european_history,0.6848484848484848
high_school_geography,0.7424242424242424
high_school_government_and_politics,0.8393782383419689
high_school_macroeconomics,0.5846153846153846
high_school_mathematics,0.37407407407407406
high_school_microeconomics,0.7058823529411765
high_school_physics,0.3973509933774834
high_school_psychology,0.781651376146789
high_school_statistics,0.5092592592592593
high_school_us_history,0.7696078431372549
high_school_world_history,0.8185654008438819
human_aging,0.6591928251121076
human_sexuality,0.7404580152671756
international_law,0.7603305785123967
jurisprudence,0.6944444444444444
logical_fallacies,0.6809815950920245
machine_learning,0.48214285714285715
management,0.8058252427184466
marketing,0.8632478632478633
medical_genetics,0.71
miscellaneous,0.8007662835249042
moral_disputes,0.6676300578034682
moral_scenarios,0.42569832402234636
nutrition,0.7058823529411765
philosophy,0.6463022508038585
prehistory,0.691358024691358
professional_accounting,0.5
professional_law,0.4641460234680574
professional_medicine,0.7169117647058824
professional_psychology,0.6519607843137255
public_relations,0.6181818181818182
security_studies,0.7387755102040816
sociology,0.8009950248756219
us_foreign_policy,0.82
virology,0.4819277108433735
world_religions,0.7660818713450293
